MobileMedia;AlbumManagement;CreateAlbum;DeleteAlbum;MediaManagement;Favorites;SetFavorites;ViewFavorites;Sorting;CopyMedia;SMSTransfer;ReceivePhoto;SendPhoto;BasicMediaOperation;EraseMedia;DeleteMedia;EditMediaLabel;MediaSelection;Photo;ViewPhoto;CapturePhoto;Music;PlayMusic;Mobilemedia;Albummanagement;Createalbum;Deletealbum;Photomanagement;Favorite;Setfavorites;Viewfavorites;Photooperation;Createphoto;Deletephoto;Editphotolabel;Viewphoto;Copyphoto;SMStranfer;Receivephoto;Sendphoto;
true;true;true;true;true;false;false;false;false;false;false;false;false;true;true;true;true;true;false;false;false;true;true;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;
true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;
true;true;true;true;true;true;true;true;true;false;true;true;true;true;true;true;true;true;true;true;true;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;
true;true;true;true;true;false;false;false;false;true;false;false;false;true;true;true;true;true;false;false;false;true;true;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;
true;true;true;true;true;true;true;true;true;*;false;false;false;true;true;true;true;true;true;true;true;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;
true;true;true;true;true;false;false;false;false;*;true;true;true;true;true;true;true;true;false;false;false;true;true;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;
true;true;true;true;true;true;true;true;true;*;false;false;false;true;true;true;true;true;true;true;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;
true;true;true;true;true;false;false;false;false;*;false;false;false;true;true;true;true;true;true;true;true;true;true;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;
true;true;true;true;true;true;true;true;true;*;false;false;false;true;true;true;true;true;false;false;false;true;true;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;
true;true;true;true;true;true;true;true;false;*;false;false;false;true;true;true;true;true;true;true;*;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;
true;true;true;true;true;false;false;false;true;*;false;false;false;true;true;true;true;true;true;true;*;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;
