MobileMedia;Albummanagement;CreateAlbum;DeleteAlbum;Mediamanagement;Favorites;Setfavorites;Viewfavorites;Sorting;Copymedia;SMStransfer;Receivephoto;Sendphoto;Mediaselection;Photo;Viewphoto;Capturephoto;Music;Playmusic;Video;Playvideo;Capturevideo;Basicmediaoperation;Createmedia;Deletemedia;Editmedialabel
true;true;true;true;true;false;false;false;false;false;false;false;false;true;false;false;false;false;false;true;true;false;true;true;true;true
true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;false;false;false;true;true;true;true
true;true;true;true;true;false;false;false;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true
true;true;true;true;true;true;true;true;false;false;false;false;false;true;false;false;false;false;false;true;true;true;true;true;true;true
true;true;true;true;true;false;false;false;false;true;true;true;true;true;true;true;true;true;true;false;false;false;true;true;true;true
true;true;true;true;true;true;true;true;true;true;false;false;false;true;false;false;false;false;false;true;true;true;true;true;true;true
true;true;true;true;true;true;true;true;true;false;true;true;true;true;true;true;true;true;true;false;false;false;true;true;true;true
true;true;true;true;true;true;true;true;false;true;true;true;true;true;false;false;false;false;false;true;true;true;true;true;true;true
true;true;true;true;true;true;true;true;false;true;false;false;false;true;true;true;true;true;true;false;false;false;true;true;true;true
true;true;true;true;true;true;true;true;true;true;true;true;true;true;false;false;false;true;true;false;false;false;true;true;true;true
true;true;true;true;true;true;true;true;false;false;true;true;true;true;true;true;false;false;false;false;false;false;true;true;true;true
true;true;true;true;true;true;true;true;true;false;true;true;true;true;true;true;true;false;false;true;true;true;true;true;true;true
