WeatherStation;Measurements;WindSpeed;Temperature;Pressure;DataSource;ExternalSensors;Demo;Internet;OutFormAndLanguage;OutputFormat;File;WebServer;Format;HTML;XML;Plaintext;Language;English;German;Alarm;FreezePoint;StormAlert;Text
true;true;false;false;true;true;false;false;true;true;true;false;true;true;false;false;true;true;false;true;false;false;false;false
true;true;true;true;false;true;true;false;false;true;true;true;false;true;true;false;false;true;true;false;true;true;true;true
true;true;false;true;false;true;false;true;false;true;true;true;false;true;false;true;false;true;true;false;true;true;true;true
true;true;true;false;true;true;false;true;false;true;true;false;true;true;false;true;false;true;false;true;false;false;false;false
true;true;true;false;false;true;false;false;true;true;true;true;false;true;false;false;true;true;true;false;true;false;true;true
true;true;true;true;true;true;false;false;true;true;true;false;true;true;false;false;true;true;false;true;true;true;false;true
true;true;false;false;true;true;true;false;false;true;true;true;false;true;true;false;false;true;true;false;true;false;true;true
true;true;true;false;false;true;true;false;false;true;true;false;true;true;false;true;false;true;false;true;false;false;false;false
true;true;true;true;true;true;true;false;false;true;true;false;true;true;false;false;true;true;true;false;true;true;true;true
true;true;true;false;true;true;false;true;false;true;true;true;false;true;false;false;true;true;false;true;false;false;false;false
true;true;true;false;false;true;false;false;true;true;true;false;true;true;true;false;false;true;false;true;false;false;false;false
true;true;true;false;false;true;false;true;false;true;true;true;false;true;true;false;false;true;true;false;false;false;false;false
true;true;true;true;false;true;false;false;true;true;true;true;false;true;false;true;false;true;false;true;true;true;true;true
true;true;true;false;false;true;true;false;false;true;true;true;false;true;true;false;false;true;true;false;false;false;false;true
