CarBody;MultimediaDevices;Radio;MonochromeRadioDisplay;ColorRadioDisplay;ColorNavDisplay;Navigation;DisplayType;MonochromeNavDisplay;DataStorage;HardDiskDrive;DVDDrive;DVDEntertainment;OtherFeatures
true;true;false;false;false;false;false;false;false;false;false;false;false;true
true;true;true;true;false;false;true;true;true;true;true;true;false;true
true;true;true;false;true;true;false;false;false;false;false;false;true;true
true;false;false;false;false;false;false;false;false;false;false;false;false;true
true;true;false;false;false;false;true;true;true;true;true;true;false;true
true;true;true;true;false;false;false;false;false;false;false;false;true;true
true;true;true;false;true;true;true;true;true;true;true;true;false;true
true;true;true;false;true;false;true;true;true;false;false;false;true;true
true;true;false;false;false;false;true;true;true;true;true;false;true;true
true;true;true;true;false;false;true;true;true;true;false;true;false;true
