HelpSystem;Priority;PH;PI;PL;Level;BG;IT;AD;Method;PR;PB;Activity;PS;CT;SensorInput;S1;S2;S3;S4;SensorPosition;Pressed;Sound;Sound1;Sound2;NotPressed
true;true;false;false;true;true;false;false;true;true;false;true;true;false;true;true;false;false;false;true;true;true;true;false;true;true
true;true;true;true;false;true;true;false;false;true;true;false;true;true;false;true;true;false;false;false;true;true;true;true;false;true
true;true;false;true;false;true;false;true;false;true;true;false;true;true;false;true;false;true;false;false;true;true;true;true;false;true
true;true;true;false;true;true;false;true;false;true;false;true;true;false;true;true;false;false;true;false;true;true;true;false;true;true
true;true;true;false;false;true;false;false;true;true;true;false;true;true;false;true;false;true;false;false;true;true;true;true;false;true
true;true;false;true;true;true;false;false;true;true;false;true;true;false;true;true;false;false;true;false;true;true;true;false;true;true
true;true;false;false;true;true;true;false;false;true;true;false;true;true;false;true;true;false;false;false;true;true;true;true;false;true
true;true;true;true;false;true;true;false;false;true;false;true;true;false;true;true;false;false;false;true;true;true;true;false;true;true
true;true;true;false;false;true;true;false;false;true;false;true;true;true;false;true;false;false;true;false;true;true;true;true;false;true
true;true;true;true;false;true;false;true;false;true;true;false;true;false;true;true;true;false;false;false;true;true;true;false;true;true
true;true;true;false;true;true;true;false;false;true;false;true;true;false;true;true;false;true;false;false;true;true;true;true;false;true
true;true;true;false;true;true;false;false;true;true;false;true;true;true;false;true;true;false;false;false;true;true;true;false;true;true
true;true;true;true;false;true;true;false;false;true;true;false;true;true;false;true;false;false;true;false;true;true;true;true;false;true
true;true;true;true;false;true;false;true;false;true;true;false;true;true;false;true;false;false;false;true;true;true;true;true;false;true
true;true;true;true;false;true;true;false;false;true;true;false;true;true;false;true;false;true;false;false;true;true;true;false;true;true
