BCS;Wiper;Budget;Premium;Door_System;Heatable_Mirrors;Security;CLS;RCK;Infotainment;Bluetooth;USB;Power_window
true;true;false;true;true;false;false;false;false;false;false;false;false
true;true;true;false;true;true;true;true;true;true;true;true;true
true;true;true;false;true;false;false;false;false;false;false;false;false
true;true;false;true;true;true;true;true;true;true;true;true;true
true;true;true;false;true;true;false;false;false;false;false;false;false
true;true;true;false;true;false;true;true;true;true;true;true;true
true;true;true;false;true;false;true;false;false;false;false;false;false
true;true;true;false;true;true;false;false;false;true;true;true;true
true;true;true;false;true;true;true;true;true;false;false;false;false
true;true;true;false;true;false;true;true;true;true;true;false;false
true;true;true;false;true;true;true;true;true;true;false;true;true
true;true;true;false;true;false;true;true;true;true;true;true;false
true;true;true;false;true;true;true;true;true;false;false;false;true
