PPU;Crane;SRouting;Slide;Straight;Conveyor;SSortation;DSortation;Workpiece;Type;Plastic;Light;Dark;Metal;Stamp;SPressure;APressure
true;true;true;true;false;true;true;false;true;true;true;true;false;true;true;false;true
true;true;true;true;true;false;false;false;true;true;true;true;true;true;true;false;true
true;true;true;true;true;false;false;false;true;true;true;false;true;false;false;false;false
true;true;true;true;false;true;true;false;true;true;true;false;true;false;false;false;false
true;true;true;true;true;false;false;false;true;true;true;false;true;true;true;true;false
true;true;true;true;false;true;false;true;true;true;false;false;false;true;true;true;false
true;true;true;true;false;true;true;false;true;true;false;false;false;true;true;true;false
true;true;true;true;false;true;false;true;true;true;true;true;true;true;true;false;true
true;true;true;true;false;true;false;true;true;true;true;false;true;false;false;false;false
true;true;true;true;true;false;false;false;true;true;false;false;false;true;false;false;false
true;true;true;true;false;true;false;true;true;true;true;false;true;true;true;true;false
true;true;true;true;true;false;false;false;true;true;false;false;false;true;true;false;true
